evaluation_dataset,model,scenario,threshold,sample_size,total_churners,customers_contacted,contact_rate,true_churners_contacted,false_interventions,missed_churners,true_nonchurners_not_contacted,campaign_precision,churn_capture_rate,expected_retained_customers,expected_retained_value,contact_cost,false_positive_cost,fixed_campaign_cost,total_campaign_cost,net_profit,roi,profit_per_contacted_customer,profit_per_1000_customers
test_exploratory,Random Forest,conservative,0.68,94669,8514,7741,0.08176911132472087,6469,1272,2045,84883,0.8356801446841493,0.7598073760864459,646.9000000000001,38814.00000000001,61928.0,1272.0,0.0,63200.0,-24385.999999999993,-0.3858544303797467,-3.1502389872109537,-257.5922424447284
test_exploratory,Random Forest,conservative,0.69,94669,8514,7642,0.08072336245233393,6421,1221,2093,84934,0.8402250719706883,0.7541696030068124,642.1,38526.0,61136.0,1221.0,0.0,62357.0,-23831.0,-0.3821704058886733,-3.118424496205182,-251.7297108874077
test_exploratory,Random Forest,conservative,0.7,94669,8514,7560,0.07985718661863968,6375,1185,2139,84970,0.8432539682539683,0.7487667371388301,637.5,38250.0,60480.0,1185.0,0.0,61665.0,-23415.0,-0.3797129652152761,-3.0972222222222223,-247.33545299939792
test_exploratory,Random Forest,conservative,0.71,94669,8514,7469,0.07889594270563753,6325,1144,2189,85011,0.8468335787923417,0.7428940568475452,632.5,37950.0,59752.0,1144.0,0.0,60896.0,-22946.0,-0.3768063583815029,-3.0721649484536084,-242.38134975546376
test_exploratory,Random Forest,conservative,0.72,94669,8514,7386,0.07801920375202019,6278,1108,2236,85047,0.8499864608719199,0.7373737373737373,627.8000000000001,37668.00000000001,59088.0,1108.0,0.0,60196.0,-22527.999999999993,-0.37424413582297816,-3.0500947738965603,-237.9659656276077
test_exploratory,Random Forest,conservative,0.73,94669,8514,7309,0.07720584351794146,6218,1091,2296,85064,0.8507319742782871,0.7303265210241955,621.8000000000001,37308.00000000001,58472.0,1091.0,0.0,59563.0,-22254.999999999993,-0.37363799674294434,-3.0448761800519897,-235.08223388860125
test_exploratory,Random Forest,conservative,0.74,94669,8514,7244,0.07651924072293993,6175,1069,2339,85086,0.8524295969077857,0.7252760159736904,617.5,37050.0,57952.0,1069.0,0.0,59021.0,-21971.0,-0.37225733213601936,-3.0329928216454998,-232.08230783044078
test_exploratory,Random Forest,conservative,0.75,94669,8514,7164,0.07567419112909189,6118,1046,2396,85109,0.8539921831379118,0.7185811604416256,611.8000000000001,36708.00000000001,57312.0,1046.0,0.0,58358.0,-21649.999999999993,-0.37098598307001596,-3.0220547180346164,-228.69154633512548
test_exploratory,Random Forest,conservative,0.76,94669,8514,7057,0.07454393729732013,6046,1011,2468,85144,0.8567379906475839,0.7101245008221753,604.6,36276.0,56456.0,1011.0,0.0,57467.0,-21191.0,-0.36875076130648893,-3.0028340654669123,-223.8430742904224
test_exploratory,Random Forest,conservative,0.77,94669,8514,6967,0.07359325650424109,5985,982,2529,85173,0.859049806229367,0.7029598308668076,598.5,35910.0,55736.0,982.0,0.0,56718.0,-20808.0,-0.366867661059981,-2.986651356394431,-219.79739935987493
test_exploratory,Random Forest,conservative,0.78,94669,8514,6910,0.07299115866862436,5950,960,2564,85195,0.8610709117221418,0.6988489546629082,595.0,35700.0,55280.0,960.0,0.0,56240.0,-20540.0,-0.36522048364153625,-2.9725036179450073,-216.966483220484
test_exploratory,Random Forest,conservative,0.79,94669,8514,6824,0.07208273035523773,5885,939,2629,85216,0.8623974208675264,0.6912144702842378,588.5,35310.0,54592.0,939.0,0.0,55531.0,-20221.0,-0.36413894941564173,-2.9632180539273154,-213.59684796501494
test_exploratory,Random Forest,conservative,0.8,94669,8514,6763,0.0714383800399286,5845,918,2669,85237,0.8642614224456602,0.6865163260512098,584.5,35070.0,54104.0,918.0,0.0,55022.0,-19952.0,-0.36261858892806514,-2.9501700428803783,-210.7553687057009
test_exploratory,Random Forest,conservative,0.81,94669,8514,6695,0.07072008788515775,5797,898,2717,85257,0.8658700522778192,0.6808785529715762,579.7,34782.0,53560.0,898.0,0.0,54458.0,-19676.0,-0.36130596055675934,-2.938909634055265,-207.83994760692516
test_exploratory,Random Forest,conservative,0.82,94669,8514,6621,0.06993841701084832,5744,877,2770,85278,0.867542667270805,0.6746535118628142,574.4,34464.0,52968.0,877.0,0.0,53845.0,-19381.0,-0.35994057015507475,-2.927201329104365,-204.72382722961055
test_exploratory,Random Forest,conservative,0.83,94669,8514,6538,0.06906167805723099,5687,851,2827,85304,0.8698378709085347,0.6679586563307494,568.7,34122.0,52304.0,851.0,0.0,53155.0,-19033.0,-0.358066033298843,-2.911134903640257,-201.04786149637158
test_exploratory,Random Forest,conservative,0.84,94669,8514,6426,0.06787860862584373,5609,817,2905,85338,0.8728602552131964,0.6587972750763449,560.9,33654.0,51408.0,817.0,0.0,52225.0,-18571.0,-0.35559597893729056,-2.889978213507625,-196.16770009189915
test_exploratory,Random Forest,conservative,0.85,94669,8514,6303,0.06657934487530237,5520,783,2994,85372,0.8757734412184673,0.6483439041578577,552.0,33120.0,50424.0,783.0,0.0,51207.0,-18087.0,-0.35321342785166093,-2.869585911470728,-191.05515004911848
test_exploratory,Random Forest,conservative,0.86,94669,8514,6173,0.06520613928529931,5416,757,3098,85398,0.8773691884011016,0.6361287291519849,541.6,32496.0,49384.0,757.0,0.0,50141.0,-17645.0,-0.35190762051016133,-2.858415681192289,-186.3862510431081
test_exploratory,Random Forest,conservative,0.87,94669,8514,6029,0.06368505001637284,5306,723,3208,85432,0.8800796151932327,0.6232088325111581,530.6,31836.0,48232.0,723.0,0.0,48955.0,-17119.0,-0.3496884894290675,-2.839442693647371,-180.83004996355723
test_exploratory,Random Forest,conservative,0.88,94669,8514,5859,0.06188931962944575,5173,686,3341,85469,0.8829151732377539,0.6075875029363401,517.3000000000001,31038.000000000004,46872.0,686.0,0.0,47558.0,-16519.999999999996,-0.34736532234324397,-2.819593787335722,-174.50274112962
test_exploratory,Random Forest,conservative,0.89,94669,8514,5627,0.05943867580728644,4991,636,3523,85519,0.8869735205260352,0.586210946676063,499.1,29946.0,45016.0,636.0,0.0,45652.0,-15706.0,-0.3440375010952423,-2.7911853563177536,-165.90436151221624
test_exploratory,Random Forest,conservative,0.9,94669,8514,5362,0.05663944902766481,4778,584,3736,85571,0.8910854158895934,0.5611933286351891,477.8,28668.0,42896.0,584.0,0.0,43480.0,-14812.0,-0.3406623735050598,-2.7624020887728458,-156.46093230096443
test_exploratory,Random Forest,conservative,0.91,94669,8514,5172,0.054632456242275716,4628,544,3886,85611,0.8948182521268369,0.5435752877613342,462.8,27768.0,41376.0,544.0,0.0,41920.0,-14152.0,-0.33759541984732827,-2.7362722351121422,-149.4892731517181
